refLocal;idVehiculo
1925931;57385
1925932;57385
1925945;57385
1925725;57385
1925726;57385
1925728;57385
1925735;57385
1925737;57385
1925741;57385
1925744;57385
1925746;57385
1925747;57385
1925756;57385
1925758;57385
1925827;57385
1925829;57385
1925830;57385
1925844;57385
1925845;57385
1925872;57385
1925885;57385
1925889;57385
1925892;57385
1925899;57385
1925913;57385
1925917;57385
1925918;57385
1925923;57385
1925930;57385
1925933;57385
1925948;57385
1925810;57385
1925887;57385
1925934;57385
1924158;57359
1927847;57325
1927918;57325
1928036;57325
1953040;57486
1630073;-1141501119
1730001;56461
1730030;56461
1730055;56461
1730057;56461
1730100;56461
1730161;56461
109814;-1753894957
1848691;57043
1848692;57043
1792458;56741
1618911;55804
1881497;57184
1930533;-1723130128
1683731;55769
1421789;55313
1921380;57352
1929469;57395
1934999;57372
1874385;57134
1841718;57000
1883803;57000
1550824;55711
1863518;57115
1863536;57115
1863546;57115
1863600;57115
1277342;54158
1910455;57290
1950840;57479
1787437;56758
1788452;56769
1924506;57357
1937264;57374
1954032;-1542837905
1703061;56349
1928582;57332
1884761;57195
1884766;57195
1917125;57322
1871470;57138
1209054;54276
1872380;57128
1912400;57297
1904554;57269
1942562;-1258335103
1362326;55094
1942969;57442
1664869;56187
1275727;54642
1260794;52395
1461147;-1848524260
1469601;55447
1676841;56238
1783566;56745
1932370;57406
1272414;54607
1084391;53537
1954563;57290
1929669;57396
1824283;56923
1832614;56966
1825659;56933
1928333;57332
1817030;56879
1817046;56879
1817110;56879
1817143;56879
1817206;56879
1742813;-1429543298
1742814;-1759533646
1742817;-1665940985
1742818;-1025005567
1742819;-1729421885
1742822;-1894763358
1742830;-1250213528
1742832;-1019730503
1742833;-1829881858
1742838;-1095844816
1742840;-1970563951
1742844;-1650117239
1742845;-1846043092
1742847;-1696485194
1742848;-1805740147
1742849;-1035933902
1742850;-1756454110
1742852;-1939912481
1742862;-1927294631
1742863;-1267338266
1742864;-1089443678
1742867;-1175768835
1742868;-1208849508
1742874;-1725669454
1742875;-1428277679
1742877;-1739082404
1742878;-1220894301
1742879;-1607300483
1742880;-1476211690
1742882;-1807193941
1742885;-1728920072
1742888;-1405139597
1742889;-1169300514
1742890;-1447993483
1742892;-1404574236
1742893;-1391623515
1742894;-1796247396
1742895;-1310265576
1742897;-1747035878
1742898;-1164490459
1742899;-1765893541
1742900;-1289980153
1742904;-1694287963
1742905;-1081553098
1742907;-1720773162
1742908;-1253687712
1742910;-1742515554
1742912;-1076749910
1742913;-1637616940
1742915;-1281197938
1742918;-1625845822
1742920;-1195256191
1742927;-1635149328
1742928;-1912319780
1742929;-1345040384
1742930;-1436777684
1742937;-1701496931
1742940;-1835640046
1742945;-1342199500
1742948;-1435297349
1742950;-1188935573
1742952;-1773930629
1742953;-1438625454
1742954;-1675062391
1742955;-1666637068
1742959;-1203223752
1742960;-1432289207
1742963;-1375860500
1742969;-1940378655
1742973;-1569620540
1742974;-1649305801
1742977;-1316714660
1742978;-1804629318
1742979;-1288872727
1742982;-1894890422
1742983;-1930311068
1742984;-1614858726
1742987;-1997234387
1742988;-1538925481
1742989;-1419938076
1742992;-1890616453
1742993;-1152925735
1742994;-1005474897
1742997;-1200476696
1742998;-1219736305
1743004;-1983914040
1743007;-1514308957
1743017;-1866487851
1743022;-1726290837
1743023;-1316422216
1743024;-1102392176
1743027;-1424684811
1743028;-1278989348
1743029;-1587233385
1743032;-1732157636
1743033;-1911436297
1743044;-1405159907
1817121;56879
1817129;56879
1817144;56879
1817148;56879
1817207;56879
1742816;-1497027525
1742821;-1821147099
1742831;-1817042262
1742836;-1326248807
1742846;-1835827655
1742851;-1847020207
1742861;-1057270570
1742876;-1854741565
1742881;-1853284020
1742896;-1509380129
1742901;-1561566924
1742906;-1847413554
1742911;-1575210925
1742916;-1572161700
1742926;-1393475347
1742931;-1969783309
1742936;-1566003732
1742941;-1061321824
1742946;-1839054229
1742951;-1075689017
1742956;-1931842125
1742961;-1156613677
1742970;-1997605984
1742975;-1479322371
1742976;-1919135982
1742980;-1172537719
1742981;-1995639238
1742985;-1489284748
1742986;-1850881111
1742990;-1753302197
1742995;-1993399193
1742996;-1983664398
1743000;-1454215349
1743006;-1822793956
1743010;-1920477818
1743011;-1465611174
1743015;-1217334373
1743016;-1403335879
1743025;-1713642173
1743031;-1797547082
1743050;-1624117559
1947936;57379
1400194;55227
1667994;-1394043862
1667995;-1595615719
1667996;-1973438807
1667999;-1348064360
1668000;-1358229056
1668006;-1640826221
1668009;-1118871343
1668010;-1326421100
1668013;-1172864632
1668014;-1520665806
1668023;-1155453563
1668024;-1990728954
1668027;-1683394553
1668029;-1232631403
1668038;-1594251168
1668039;-1468389600
1668040;-1970133855
1668041;-1951918596
1668042;-1387798280
1668045;-1719477586
1668046;-1334254951
1668051;-1116273709
1668057;-1609536436
1668060;-1119876882
1668061;-1093307818
1668062;-1227317122
1668063;-1465204286
1668064;-1125228388
1668065;-1177004199
1668066;-1473880947
1668067;-1933192187
1668069;-1768003556
1668070;-1263144259
1668071;-1950444850
1668080;-1051442516
1668085;-1651109759
1668086;-1123445468
1668089;-1205800952
1668091;-1808506669
1668092;-1623804338
1668093;-1310608544
1668094;-1904021479
1668095;-1554922951
1668097;-1846564582
1668098;-1462457726
1668099;-1657343578
1668100;-1502520021
1668106;-1952334959
1668108;-1999072387
1668109;-1282630755
1668110;-1105410643
1668111;-1287176075
1668112;-1409446791
1668113;-1355619230
1668114;-1024990140
1668115;-1718135031
1668116;-1730233301
1668117;-1605312359
1668118;-1310777524
1668119;-1869955634
1668123;-1299719438
1668126;-1486217323
1668128;-1793477963
1668129;-1298187528
1668130;-1421087836
1668131;-1908931935
1668137;-1779647926
1668139;-1765578954
1668140;-1866439004
1668143;-1085485823
1668144;-1567437771
1668146;-1454859675
1668147;-1249725995
1668148;-1814124902
1668149;-1975860897
1668150;-1579516320
1668151;-1696645002
1668153;-1315602221
1668162;-1691762263
1668163;-1151125464
1668165;-1373062321
1668166;-1108463008
1668169;-1206356296
1668170;-1806944525
1668171;-1283514894
1668172;-1438798657
1668177;-1786325938
1668183;-1615484154
1668184;-1908333435
1668186;-1418110800
1668187;-1899994521
1668188;-1220152656
1668189;-1469141614
1668190;-1646704997
1668191;-1529419680
1668192;-1397753906
1668193;-1504480545
1668194;-1775802353
1668195;-1136481616
1668196;-1801137218
1668197;-1283965770
1668198;-1030844705
1668199;-1114812656
1668202;-1856096327
1668203;-1049128649
1668204;-1632228109
1668205;-1382095483
1668206;-1142597643
1668207;-1940942788
1668208;-1195963905
1668214;-1093599076
1668216;-1349845961
1668220;-1879592876
1668221;-1469636594
1668225;-1535717455
1668226;-1074187586
1668227;-1785081704
1668229;-1839527687
1668234;-1291593063
1668235;-1074310591
1668236;-1174465623
1668238;-1551566655
1732255;56390
1784857;56751
140170;49764
1936651;57411
1820621;56890
1706037;56364
1706057;56364
1706060;56364
1706065;56364
1706085;56364
1706097;56364
1706120;56364
1706157;56364
1706189;56364
1706086;56364
1762364;56559
1817116;56879
1817131;56879
1817091;56879
1817114;56879
1817140;56879
1817152;56879
1817153;56879
1817203;56879
1817244;56879
1142821;-1399750788
1692427;56313
1642494;-1012396042
1907028;57279
1907069;57279
1907099;57279
1817146;56879
1817007;56879
1817023;56879
1817088;56879
1817145;56879
1884653;57193
1783456;56745
1783544;56745
1832633;56966
1853520;57063
1863251;57113
1910099;57288
1846517;56901
1857663;57078
1857664;57078
1951264;57481
1951438;57481
1954564;57479
1926768;57387
1870392;57146
1599333;55894
1799702;56797
1926238;57384
1915868;57331
1857761;57078
1909389;57287
1713676;56394
1952218;57014
1817109;56879
1839933;56907
1839994;56907
1863537;57115
1072012;-1157668324
1476910;55489
1862886;56763
1370120;55109
1956100;-1392032795
1956091;-1005418479
1956099;-1587631328
1956098;-1736251934
1956097;-1272036641
1956101;-1730097543
1956102;-1395279701
1956092;-1027025631
1908129;57282
1956093;-1711347183
1956095;-1856702307
1956094;-1456939590
1956103;-1454654454
1956096;-1283089274
1955125;57495
1955155;57495
1955305;57495
1955294;57495
1474835;53833
1955829;57490
1955836;57490
1955854;57490
1820795;56887
1948008;-1162886329
1634034;55965
1811973;56859
1811982;56859
1932423;57406
1932549;57406
1932599;57406
1811931;56859
1812040;56859
1812041;56859
1812042;56859
1932566;57406
1932340;57406
1932577;57406
1565453;55820
1872073;57141
1706204;-1704250198
1763268;56546
1305042;-1936503851
1822174;56725
1811976;56859
1811977;56859
1811989;56859
1812012;56859
1812018;56859
1812056;56859
1812072;56859
1812089;56859
1812109;56859
1812115;56859
1812009;56859
1812108;56859
1797087;56639
1892728;56700
1936678;57411
1876802;57170
1931970;57404
1694323;56070
1811922;56859
1811924;56859
1811921;56859
1811920;56859
1857789;57078
1956076;56879
1956352;57406
1825658;56933
1885983;57201
1825660;56933
1825773;56933
1922407;57317
1574708;55872
1574744;55872
1574757;55872
1574743;55872
1677668;56243
1928136;57318
1952198;57043
1953553;57487
1953554;57487
1598311;55181
1692049;56312
1415743;55285
1435873;55344
1390087;55177
710031;51958
920792;52780
1032483;-1971219672
1052090;53266
1293376;54533
1309404;54778
1349631;-1492049526
1362586;55094
1362644;55090
1631375;56038
1666508;56032
1653533;56145
1303384;-1779356376
1759378;56406
1378923;54906
1152195;53836
1152196;53836
1598753;55901
1752736;56570
1744604;56524
1812135;56859
1884783;57195
1955397;57533
1955401;57533
1955402;57533
1955406;57533
1955414;57533
1955617;57533
1955627;57533
1955630;57533
1955636;57533
1955644;57533
1955645;57533
1955659;57533
1955661;57533
1955662;57533
1955663;57533
1955664;57533
1955665;57533
1955678;57533
1955684;57533
1955690;57533
1955696;57533
1955697;57533
1955698;57533
1955703;57533
1955705;57533
1955708;57533
1955716;57533
1955720;57533
1955722;57533
1955723;57533
1955724;57533
1955725;57533
1955730;57533
1955731;57533
1955737;57533
1955738;57533
1955739;57533
1955742;57533
1955743;57533
1955746;57533
1955747;57533
1955749;57533
1955752;57533
1955753;57533
1955772;57533
1955780;57533
1955789;57533
1955804;57533
1955805;57533
1955825;57533
1275141;54568
1882781;57188
1914126;57307
1932318;57406
1932426;57406
1949343;57473
1879376;56936
1784845;56751
1955375;57534
1955384;57534
1955423;57534
1955554;57534
1955555;57534
1955559;57534
1955352;57534
1955387;57534
1955551;57534
1955560;57534
1955606;57534
1560960;55760
1560961;55760
1847520;56282
543487;50547
1769036;56604
1438535;55388
1777198;56672
1824187;56923
1853009;56672
731137;50352
589430;-1330955948
118461;-1649906918
1955108;-1900399974
1955109;-1883500697
1955110;-1165051603
1955111;-1987526145
1955112;-1747448624
1955113;-1254645100
1955114;-1857142769
1955115;-1746624109
1955116;-1793077098
1955117;-1580407029
1955126;-1042048591
1955129;-1803568271
1955131;-1779442504
1955134;-1989436549
1955137;-1928729272
1955138;-1189255084
1955139;-1159091909
1955140;-1140371669
1955141;-1005106604
1955142;-1194134632
1955150;-1582326086
1955151;-1527939681
1955152;-1348607822
1955153;-1408513140
1955154;-1333527821
1955161;-1360056855
1955164;-1577678913
1955165;-1001603120
1955170;-1480350398
1955173;-1097921151
1955176;-1481889533
1955177;-1336137830
1955180;-1342209409
1955183;-1634926977
1955184;-1489325885
1955185;-1640978018
1955192;-1055421054
1955193;-1819347996
1955194;-1762145856
1955195;-1169423235
1955198;-1263498030
1955205;-1606405741
1955206;-1841876610
1955211;-1134997280
1955214;-1807089341
1955215;-1206214227
1955216;-1807259127
1955217;-1505177384
1955218;-1134036663
1955219;-1977040277
1955238;-1470658884
1955239;-1090029377
1955250;-1293736291
1955268;-1376499276
1955269;-1643827440
1955270;-1840793784
1955271;-1939634381
1955272;-1410459877
1955275;-1070423068
1955276;-1307128670
1955285;-1545064986
1955286;-1442509744
1955287;-1065482352
1955304;-1127189808
1955306;-1349710826
1955311;-1139748665
1955312;-1007121223
1955316;-1925858199
1955321;-1478516047
1955322;-1124806121
1955326;-1729434730
1955328;-1198362828
1955118;-1343228876
1955119;-1756189778
1955120;-1894151831
1955121;-1250307010
1955127;-1707210219
1955145;-1318620879
1955168;-1262187198
1955190;-1426614666
1955196;-1513565736
1955200;-1636094954
1955201;-1081820944
1955203;-1572931098
1955207;-1805769396
1955226;-1586467588
1955229;-1549722557
1955230;-1449364640
1955231;-1907563501
1955232;-1785157472
1955233;-1389268690
1955234;-1006305441
1955240;-1974732466
1955242;-1853863110
1955257;-1564172750
1955260;-1500104440
1955280;-1613310982
1955283;-1856003105
1955300;-1309197641
1955307;-1766065039
1955309;-1873635274
1955315;-1538142432
1955323;-1766106593
1955324;-1245807350
1955325;-1564384852
1955130;-1808235558
1955136;-1432286389
1955144;-1491083086
1955146;-1564033729
